id,title,body,department,sentiment
6fe75ffd-9649-4e17-89f3-c66b4274f5d6,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
ac4fd0c8-da65-4711-ac1c-946701b58a9d,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
53503605-2a7b-4f03-8961-0041a6921843,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
15317b49-19d7-4703-8821-367faf1858da,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
572d2cfa-61bf-4d52-b7ec-157aa64fd50e,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
142595f9-4911-4879-a67d-72076b846773,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
8d3f1eeb-1882-4bb9-bdd6-b544cd999ef6,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
5d29c8f1-2979-47c3-adbc-4787118697ab,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
d32916e3-3dce-45c2-9c3f-7843b36a4844,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
961b30ec-f81a-457a-81cc-8cfad6f59359,Poca disponibilitÃ ,Personale poco cortese e difficile ottenere informazioni.,Reception,negativo
f1bdcf8b-ef6e-40b8-8bde-ee981f4e9350,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
73d52de1-3194-4dc9-a753-a966fffbad3a,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
5ff07069-4c12-4dfa-a449-c23777a0205f,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
8d408585-7702-4a8c-9327-d4689f19aa80,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
7a22db0e-244e-4c3e-af01-1d4b31234d2e,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
f691b9c8-3bd8-484d-bc8f-c6d91ad59fd6,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
9cfb8310-5479-421f-9126-d4df2f58db8f,Accoglienza ottima,"Personale disponibile, spiegazioni chiare e assistenza immediata.",Reception,positivo
f33d63e5-1d9d-4206-9f25-14cfd4166b60,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
7c0e472e-bc2e-4188-9ac2-cd2c656cb452,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
f0fd9fff-e200-4fbe-a119-520e52fda33d,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
377a2b76-7e5d-46da-beca-dac9639d7ba2,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
373163d2-0652-47f7-bc5a-b3586fd18f9e,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
20ee36e4-452a-49ba-b243-e76d16ac4c88,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
30e8e86d-3b21-45b8-bf8b-930c594ef515,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
61c8cf99-6cb9-4fab-bbec-1e9875141ab5,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
94d353f6-c4d5-4d07-933f-9a51b378eeba,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
be61d63b-6dd9-453e-baa0-3384b6be9767,Cibo freddo,Piatti arrivati tiepidi e buffet poco rifornito.,Food & Beverage,negativo
32af5508-26bd-4cb1-ab82-3ff5c648db5a,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
12c6ded6-6df6-4eff-8cbe-b2728fdd7e2f,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
b5e7c41b-1e6d-4fe9-9239-1c75662d3fb5,Servizio lento,"Attesa troppo lunga al ristorante e personale distratto. Inoltre, personale poco cortese e difficile ottenere informazioni.",Food & Beverage,negativo
bec5c110-2153-418e-8b93-c66b87da2a65,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
1d773a65-7e47-4ee0-aa3e-2eeddbce83a0,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
18f34465-56fd-40ce-a632-eeaf59de037c,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
a9778dd5-4213-4ceb-9017-96077efc344d,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
ca6d3219-fe7a-4e09-a081-dfc158156825,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
67b0f3df-53ed-43c7-8f58-e004c0a4a8e7,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
7fa953ef-6009-4d90-9bd8-74bcf32f6c43,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
6362d8f0-1637-4c8d-89ff-fd42b5281bd6,Pulizie impeccabili,"Pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Housekeeping,positivo
ce9a73f9-2bcf-4fe8-8d2e-82face191f9b,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
57bfff99-b63e-4117-99ab-3d4102117ead,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
f6863e16-da50-4135-a34f-9cc88edd124b,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
2767a268-3c07-4e64-bb19-993dfed2bc9c,Ristorante ottimo,Piatti ben preparati e servizio attento in sala.,Food & Beverage,positivo
769b0add-4ee2-47f6-9e87-29ef55e5db25,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
e56139be-a88e-48e7-957d-5e5870ae3084,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
a14369c3-8b58-415f-8344-017474da99c8,Cibo freddo,Piatti arrivati tiepidi e buffet poco rifornito.,Food & Beverage,negativo
2a7d4a88-8e94-4faa-bc99-e9077a11f40d,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
4380f833-b323-413d-b74d-97fc38692a9b,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
c8ab5d4d-2934-4af8-8fb9-7b46326c97db,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨. Inoltre, camera pulita e profumata, bagno in ordine, asciugamani freschi.",Food & Beverage,positivo
c83a0cc7-8892-4c23-88b1-ec30454ccd70,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
0c2989a2-c2ec-4748-85dd-d4c6e1cd796e,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
6be4176d-4d32-4405-9b3e-b169d6dc3168,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
b8c9e35a-e624-4054-81a8-0dea2efaf0d8,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale. Inoltre, piatti arrivati tiepidi e buffet poco rifornito.",Reception,positivo
d4347c44-05fc-4212-bc25-3ac99cbe76c6,Poca disponibilitÃ ,"Personale poco cortese e difficile ottenere informazioni. Inoltre, pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Reception,negativo
30a13fe3-0952-4cef-9707-d7edc153a25f,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
e6317aba-936a-4650-9fb9-e7ae99e6fa3d,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
9637c270-0f80-41a6-a203-a1187c864edf,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
fea2c9af-3151-4c9e-8fed-23458196a0a8,Igiene scarsa,"Ho trovato capelli nel bagno e cestino non svuotato. Inoltre, arrivo rapido, check-in in pochi minuti e staff cordiale.",Housekeeping,negativo
24cc62b2-9546-41e1-aa7a-ddee5eb17d0e,Bagno trascurato,"Doccia incrostata e cattivo odore, bagno non pulito come dovrebbe.",Housekeeping,negativo
18baa781-ad49-437c-a91a-201da46e2f7b,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
34af0775-85bd-413d-aee2-4fb0ce9780ac,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
ffe2de07-06a7-4f28-98f0-fe9fb3740db5,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
741880f1-37da-4144-b159-d1d2dd7c0e3f,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
23ff198b-6ecc-4eee-965a-5827b589cc0a,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente. Inoltre, buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Housekeeping,negativo
778d629d-cf7d-4825-aab4-a38777c673de,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨. Inoltre, pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Food & Beverage,positivo
e98dcdaf-218e-454a-940f-608f8c843c8b,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
bbcf7d93-1dbf-49b7-86ba-ec24a5e232a0,Ristorante ottimo,Piatti ben preparati e servizio attento in sala.,Food & Beverage,positivo
765c0a1f-0ffd-467d-9369-818fb17092ba,Cibo freddo,Piatti arrivati tiepidi e buffet poco rifornito.,Food & Beverage,negativo
7159a118-a349-43de-9be5-4b8a44487e85,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
cbdbe9aa-7c90-4722-872c-198c384f96d6,Bagno trascurato,"Doccia incrostata e cattivo odore, bagno non pulito come dovrebbe.",Housekeeping,negativo
fedd7466-1721-4775-b693-a762f5b1b0e5,Pulizie impeccabili,"Pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Housekeeping,positivo
f255518d-f5ee-445c-bc93-a789758cb37c,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
e715f605-6162-4029-845b-9af9efc6cb02,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
236efe7b-8bfe-4e15-8b5d-91f9a9902239,Pulizie impeccabili,"Pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Housekeeping,positivo
f91eb178-264d-4c16-8af4-33167809a87f,Poca disponibilitÃ ,Personale poco cortese e difficile ottenere informazioni.,Reception,negativo
40620595-fc55-4673-ba21-209a694bde5d,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
6a6b7fbe-2c93-43cc-ab5f-a5edc3437775,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
2eee8693-6fcc-4f61-980b-2ece2e02f597,Pulizie impeccabili,"Pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Housekeeping,positivo
54f7882c-4ecd-4e26-bdfd-9eac8d96f11b,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
b1ecb16f-5922-4259-b74b-a78ebd5d8fb5,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
896cce6f-d3dd-4304-8208-3d02532c76f0,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
084a921b-b726-43d7-9517-1b7fe9a84bf0,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
6f0c5279-9c85-4063-8b60-5b8386dcc6e0,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
a5c34564-d81c-4a4f-8f86-b02afa4509aa,Servizio lento,"Attesa troppo lunga al ristorante e personale distratto. Inoltre, bagno davvero pulito, doccia brillante e prodotti ben disposti.",Food & Beverage,negativo
4172fdd2-1b78-47fe-95b5-1152e5aca5e7,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
6abd55bb-0434-416c-abdf-67a4c4c2181e,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
a372e97e-d567-4bbe-8aa8-5fc77f352ca2,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
ddae743d-e8ad-4dd9-8dee-0ee4d5fcc822,Ristorante ottimo,Piatti ben preparati e servizio attento in sala.,Food & Beverage,positivo
b35234b8-4711-4f86-8ae9-aa0c9eb9d970,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
41be540f-ec13-43cd-9977-d09df800b5fb,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
1924fe73-81e3-4439-8619-89200c51d269,Poca disponibilitÃ ,Personale poco cortese e difficile ottenere informazioni.,Reception,negativo
c01f21ce-6f76-4e01-a4c5-434256fea7b4,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
fdaa648c-3206-4679-b657-e0d0082efa93,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
40d3d332-e98c-4bb0-a8b1-5a89b202dd95,Pulizie impeccabili,"Pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Housekeeping,positivo
fb063d89-8454-4850-aef8-3d7e55d84b97,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
7b6846fd-1dce-4fc4-995b-89d7d10664f0,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
92c461c0-0566-488f-b952-247f2f1d0d22,Poca disponibilitÃ ,Personale poco cortese e difficile ottenere informazioni.,Reception,negativo
09ec8d7c-ceb1-4c44-bdf3-783cf529ec4c,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente. Inoltre, alla reception hanno risolto subito una richiesta senza problemi.",Food & Beverage,negativo
4397c767-3526-476e-94cd-16ed6ca8e32e,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
fdcdf3ea-8420-4dcd-b207-7075800c4d68,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
40f8f65b-3cb4-43ca-8224-098943244a6d,Ristorante ottimo,Piatti ben preparati e servizio attento in sala.,Food & Beverage,positivo
83f530af-3564-4f19-b225-0fe53608e2f0,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
f1d71fd0-6fb5-44cc-9b98-b33f13b2965b,Pulizie impeccabili,"Pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Housekeeping,positivo
aea5083b-09f8-4951-86be-2cc34a66db90,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
57e5d8dd-92a2-4ec8-9fc8-9721ca7b8fc0,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
2a7d3021-46a9-4c16-b2de-b6a72e711b06,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
51e6ccab-608c-41e2-9eeb-dc1c0d65b482,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
9dcf7515-9b89-4a7d-b686-d5c6935e1f16,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
23d8dd91-9ddb-4e20-864d-4cbdd4c0914c,Accoglienza ottima,"Personale disponibile, spiegazioni chiare e assistenza immediata.",Reception,positivo
62624ab5-638d-4ec8-8c6e-06346e57b6a3,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
ed2d7b71-5d78-4c5b-a6df-188a6cbc1695,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
ad33846f-6150-4475-b2ac-e01c05cc8ead,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato. Inoltre, arrivo rapido, check-in in pochi minuti e staff cordiale.",Food & Beverage,positivo
066b7470-d83e-406f-a8f5-effcbd730d60,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
659e20bf-48d2-4167-ba86-0c1d976c25e5,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
d1617c8c-c83b-4fe5-a074-5e9f0ea795de,Accoglienza ottima,"Personale disponibile, spiegazioni chiare e assistenza immediata.",Reception,positivo
1658e8b7-fddb-40ca-984d-2bb096ff0e28,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
6dc49d1c-c19f-40be-83e7-a19595964d0e,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
90a29ba1-bd50-4c48-99c4-70f6d1bf406a,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
d7f2657a-7fbd-4277-a510-4bae4a392264,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
8e3da428-6104-469f-a8b1-0218d9cdfc42,Camera perfetta,"Camera pulita e profumata, bagno in ordine, asciugamani freschi.",Housekeeping,positivo
6c8aa954-b8b2-4cf1-b39e-07c15fe2b670,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
845a7b24-9cf5-41e8-9978-9a68a4cad839,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
cae9cc75-c2e6-48d5-a474-2ad54601c5f8,Bagno trascurato,"Doccia incrostata e cattivo odore, bagno non pulito come dovrebbe.",Housekeeping,negativo
e9abf13d-7dc1-466e-8e7b-65744deb39cf,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
7378f80a-a571-4d84-b0cb-c965eede95d9,Bagno trascurato,"Doccia incrostata e cattivo odore, bagno non pulito come dovrebbe. Inoltre, piatti ben preparati e servizio attento in sala.",Housekeeping,negativo
1ae7e40b-b388-4b48-b2ed-ba79cfef87f0,Poca disponibilitÃ ,"Personale poco cortese e difficile ottenere informazioni. Inoltre, pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Reception,negativo
a5b94cbe-7dc3-472e-95e7-57dae8bff777,Prodotti di qualitÃ ,"Colazione con dolci buoni e scelta ampia, tutto molto curato.",Food & Beverage,positivo
123b0d41-45d7-49f6-8852-77f8b82e4410,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
2a0d2ad0-98e5-4cdd-b718-6070e8866a7b,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
df62ccdf-0376-4793-96ac-0a011b6193bc,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
9f9eee6a-489a-4616-9d9c-d26c87366aca,Bagno trascurato,"Doccia incrostata e cattivo odore, bagno non pulito come dovrebbe.",Housekeeping,negativo
9f7e673f-4a28-44ec-89a3-9db83d3835c2,Accoglienza ottima,"Personale disponibile, spiegazioni chiare e assistenza immediata.",Reception,positivo
7516406a-0856-4ea7-af60-8b166516b1f1,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
4b6f762a-3b1c-42bd-886b-c845c5656783,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
b78d96d9-b153-4b0f-b9c9-c543de93539c,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
0f35fbf2-c09f-4804-8c0b-cb194fa54903,Check-in veloce,"Arrivo rapido, check-in in pochi minuti e staff cordiale.",Reception,positivo
9cbd8399-94a5-4b6b-b043-e620446de411,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente. Inoltre, poca scelta e prodotti non freschi, esperienza deludente.",Housekeeping,negativo
501f3020-d610-4520-b7f9-02d286b00dbd,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
10b8e100-93f0-46bc-bb09-e6cbaa3114ce,Problemi prenotazione,Errore nella prenotazione e tempi lunghi per sistemare tutto.,Reception,negativo
765d229c-4ee7-4c02-a4c9-1d0ee4237149,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
cc78495f-96cb-4308-bde5-4ceddfab9731,Camera sporca,"Polvere sui mobili e lenzuola macchiate, pulizia insufficiente.",Housekeeping,negativo
c1becb88-ee05-42de-9c67-ba201451f069,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
085d58b5-857b-4846-a0e3-7ed38f404fe6,Bagno curato,"Bagno davvero pulito, doccia brillante e prodotti ben disposti.",Housekeeping,positivo
ea2899e1-07b6-4c7d-860a-37c2ed9b2e60,Igiene scarsa,"Ho trovato capelli nel bagno e cestino non svuotato. Inoltre, personale poco cortese e difficile ottenere informazioni.",Housekeeping,negativo
e153c516-071e-47b7-9033-76641fd1daab,Check-in lento,Attesa lunga per le chiavi e poca organizzazione al banco.,Reception,negativo
900e7a3d-5795-4e7f-a61a-36c03294d9b0,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
1cbeb2c6-e726-457e-a8da-8a3b8bd45553,Pulizie impeccabili,"Pulizia accurata ogni giorno, lenzuola pulite e stanza ordinata.",Housekeeping,positivo
37d5f7b8-91a0-46aa-b6df-4f45f352245a,Poca disponibilitÃ ,Personale poco cortese e difficile ottenere informazioni.,Reception,negativo
f3d85c92-2488-4bec-800a-0c1156ad8000,Colazione abbondante,"Buffet ricco e vario, prodotti freschi e buon caffÃ¨.",Food & Beverage,positivo
7e37f13e-f7a9-4a43-914e-ef7a465d71c5,Supporto perfetto,Alla reception hanno risolto subito una richiesta senza problemi.,Reception,positivo
47d3913e-cb1a-4c9e-b2ab-c86d939ad4fb,Poca disponibilitÃ ,Personale poco cortese e difficile ottenere informazioni.,Reception,negativo
b03c9f3b-bc9b-4e18-8cef-157457b17e24,Colazione scarsa,"Poca scelta e prodotti non freschi, esperienza deludente.",Food & Beverage,negativo
f4283f99-260f-4b8f-a5c0-036c9e90cf02,Accoglienza ottima,"Personale disponibile, spiegazioni chiare e assistenza immediata.",Reception,positivo
d7f5c6b0-4155-41aa-a9c5-17a812b783ef,Servizio lento,Attesa troppo lunga al ristorante e personale distratto.,Food & Beverage,negativo
b4c119e4-abac-4977-a60a-724c7e30d814,Igiene scarsa,Ho trovato capelli nel bagno e cestino non svuotato.,Housekeeping,negativo
3e4b6d36-e61e-4275-a139-16dae9b57c10,Cibo freddo,Piatti arrivati tiepidi e buffet poco rifornito.,Food & Beverage,negativo
a39f9102-65a8-424f-acd0-3e82f5a41072,Cibo freddo,Piatti arrivati tiepidi e buffet poco rifornito.,Food & Beverage,negativo
6af3a1cb-c0f5-444e-8ff7-2d1ae6de2cbd,Bagno trascurato,"Doccia incrostata e cattivo odore, bagno non pulito come dovrebbe.",Housekeeping,negativo
a3a17abe-ae5c-4376-801b-fe7fb00efa49,Problemi prenotazione,"Errore nella prenotazione e tempi lunghi per sistemare tutto. Inoltre, piatti ben preparati e servizio attento in sala.",Reception,negativo
fa3cd416-8d98-42ac-9762-70930eb95a8e,Bagno trascurato,"Doccia incrostata e cattivo odore, bagno non pulito come dovrebbe.",Housekeeping,negativo
5f8b0a7e-bb36-4323-9fe9-79f6824410ff,Servizio lento,"Attesa troppo lunga al ristorante e personale distratto. Inoltre, camera pulita e profumata, bagno in ordine, asciugamani freschi.",Food & Beverage,negativo
